Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
35745,1771,1773,23.014470000000003,23.24,8061.569849999842,0.0097994870183844,2021-12-02 11:00:00,2021-12-02 13:30:00,0 days 02:30:00
35692,1773,1776,23.27486,22.7,-20517.903120000035,-0.024698752215910225,2021-12-02 13:30:00,2021-12-03 09:30:00,0 days 20:00:00
35560,1776,1785,22.784125000000003,22.28,-17926.68500000007,-0.02212615143219243,2021-12-03 09:30:00,2021-12-06 10:00:00,3 days 00:30:00
35634,1787,1788,22.2333,22.43,7009.207799999996,0.00884708972577175,2021-12-06 11:00:00,2021-12-06 13:00:00,0 days 02:00:00
35581,1788,1790,22.463645,22.06,-14362.092745000033,-0.017968811383905048,2021-12-06 13:00:00,2021-12-06 14:00:00,0 days 01:00:00
-35961,1817,1820,21.82721,21.93,-3696.431189999958,-0.004709259680921063,2021-12-10 10:00:00,2021-12-10 13:00:00,0 days 03:00:00
-35677,1820,1842,21.897105,22.15,-9022.534914999957,-0.011549243610057047,2021-12-10 13:00:00,2021-12-15 10:30:00,4 days 21:30:00
-35201,1842,1864,21.937045,22.18,-8552.258954999947,-0.011075101500680695,2021-12-15 10:30:00,2021-12-20 09:30:00,4 days 23:00:00
-35358,1866,1930,21.597555,19.6,70629.54968999994,0.09248986748731503,2021-12-20 10:30:00,2021-12-30 10:30:00,10 days 00:00:00
-42629,1930,1936,19.570600000000002,19.8,-9779.092599999927,-0.011721664128846232,2021-12-30 10:30:00,2021-12-31 09:30:00,0 days 23:00:00
-45874,2000,2035,17.973000000000003,17.73,11147.382000000096,0.013520280420631026,2022-01-13 09:30:00,2022-01-19 11:00:00,6 days 01:30:00
-47203,2035,2060,17.703405,17.06,30370.646215000063,0.036343573453807454,2022-01-19 11:00:00,2022-01-24 13:00:00,5 days 02:00:00
-50839,2060,2061,17.03441,17.0,1749.369990000059,0.0020200288709736336,2022-01-24 13:00:00,2022-01-24 13:30:00,0 days 00:30:00
-51122,2061,2097,16.974500000000003,16.78,9943.229000000074,0.011458364016613265,2022-01-24 13:30:00,2022-02-07 10:00:00,13 days 20:30:00
-52386,2097,2112,16.754830000000002,16.71,2348.4643800000545,0.0026756463658539342,2022-02-07 10:00:00,2022-02-09 09:30:00,1 days 23:30:00
-52746,2112,2114,16.684935000000003,16.95,-13981.118489999806,-0.0158864868217945,2022-02-09 09:30:00,2022-02-09 10:30:00,0 days 01:00:00
